,ID,Is_It_Dog?,Type_of_Object,Hour,Num_of_Retweet,Num_of_Favorite
1163,735137028879360001,1,3,15.0,1092.0,3428.0
1164,735256018284875776,1,1,23.0,993.0,3675.0
1165,735274964362878976,0,0,1.0,4707.0,9629.0
1166,735635087207878657,1,0,0.0,2659.0,6776.0
1167,735648611367784448,1,3,1.0,1237.0,4397.0
1168,735991953473572864,1,0,0.0,1283.0,3934.0
1169,736010884653420544,1,0,1.0,3355.0,8652.0
1170,736225175608430592,1,0,15.0,3115.0,8901.0
1171,736365877722001409,0,3,1.0,1408.0,4367.0
1172,736736130620620800,1,0,1.0,1972.0,4736.0
1173,737310737551491075,0,0,15.0,8329.0,16040.0
1174,737322739594330112,0,0,16.0,907.0,3953.0
1175,737445876994609152,1,2,0.0,5048.0,11302.0
1176,737678689543020544,1,0,16.0,1509.0,5528.0
1177,737800304142471168,1,0,0.0,3904.0,10943.0
1178,737826014890496000,1,0,2.0,2006.0,5757.0
1179,738156290900254721,1,0,23.0,748.0,2768.0
1180,738166403467907072,1,0,0.0,3828.0,9635.0
1181,738184450748633089,1,0,1.0,1360.0,4727.0
1182,738402415918125056,1,0,16.0,955.0,3599.0
1183,738537504001953792,1,4,1.0,1759.0,5575.0
1184,738883359779196928,1,0,0.0,917.0,3661.0
1185,738885046782832640,0,0,0.0,1283.0,4127.0
1186,739238157791694849,1,1,23.0,52360.0,75163.0
1187,739485634323156992,1,0,15.0,3309.0,7887.0
1188,739544079319588864,1,0,19.0,24319.0,43694.0
1189,739606147276148736,1,3,23.0,1876.0,5897.0
1190,739844404073074688,1,0,15.0,966.0,4138.0
1191,739932936087216128,1,0,21.0,1217.0,4443.0
1192,739979191639244800,1,0,0.0,6719.0,21898.0
1193,740214038584557568,1,0,16.0,2220.0,7335.0
1194,740359016048689152,1,0,1.0,967.0,3610.0
1195,740365076218183684,0,0,2.0,495.0,2727.0
1196,740373189193256964,1,0,2.0,9220.0,20648.0
1197,740676976021798912,0,3,22.0,7724.0,19881.0
1198,740699697422163968,0,0,0.0,888.0,3101.0
1199,740711788199743490,1,0,1.0,1062.0,3736.0
1200,740995100998766593,1,0,19.0,3154.0,7018.0
1201,741067306818797568,1,5,0.0,3520.0,10342.0
1202,741303864243200000,1,0,16.0,3650.0,9631.0
1203,741438259667034112,1,0,1.0,937.0,4026.0
1204,741743634094141440,1,3,21.0,3144.0,8945.0
1205,741793263812808706,1,0,0.0,1698.0,4982.0
1206,742150209887731712,0,3,0.0,1783.0,5661.0
1207,742161199639494656,0,0,1.0,1547.0,4743.0
1208,742385895052087300,1,0,15.0,2266.0,7457.0
1209,742423170473463808,1,0,18.0,4319.0,10812.0
1210,742465774154047488,0,3,21.0,4382.0,7916.0
1211,742528092657332225,0,0,1.0,2245.0,4878.0
1212,743210557239623680,1,0,22.0,1560.0,4215.0
1213,743222593470234624,1,3,23.0,2164.0,6792.0
1214,743253157753532416,1,4,1.0,1366.0,4624.0
1215,743510151680958465,0,0,18.0,4185.0,8671.0
1216,743545585370791937,0,0,20.0,1066.0,3863.0
1217,743595368194129920,0,0,0.0,7445.0,20275.0
1218,743609206067040256,1,0,1.0,1560.0,4917.0
1219,743895849529389061,1,0,19.0,1087.0,3999.0
1220,743980027717509120,1,0,1.0,1231.0,4551.0
1221,744234799360020481,1,1,18.0,79515.0,131075.0
1222,744334592493166593,1,0,1.0,2412.0,7443.0
1223,744709971296780288,1,0,1.0,1771.0,6150.0
1224,744971049620602880,1,0,19.0,3042.0,8652.0
1225,744995568523612160,1,4,20.0,716.0,3277.0
